,intrinsic_score
PYCARD,0.999999886
AC073621.1,0.999999879
CORO1A,0.999999879
CD74,0.999999877
GIMAP7,0.999999877
LST1,0.999999875
SLC9A3R2,0.999999874
RPL36A,0.999999873
AL590867.2,0.999999872
YBX1,0.999999871
AC113935.1,0.999999868
TRBC2,0.999999866
HIST1H2AL,0.999999863
BTF3,0.999999859
RPL35A,0.999999858
PRELID1,0.999999858
MRFAP1L1,0.999999856
RPS10,0.999999854
ATP5I,0.999999854
ARF6,0.999999853
RPS19,0.999999852
CEBPD,0.99999985
GSTP1,0.999999845
RPL10,0.999999844
RPS14,0.999999843
PABPC1,0.999999841
RPS3AP6,0.999999841
HIST1H2BI,0.99999984
RPL3P4,0.999999837
HIST1H3I,0.999999833
NOP53,0.999999832
SELENOH,0.999999831
AC007969.1,0.999999829
CHMP2A,0.999999827
RPL22,0.999999825
AC008038.1,0.999999825
RPS3,0.999999823
FAM46C,0.999999823
CENPB,0.999999822
ARHGDIA,0.999999818
APEX1,0.999999818
C1orf115,0.999999818
CEBPB,0.999999815
ATP5D,0.999999812
RPS24,0.999999811
RPL34P18,0.99999981
CD37,0.99999981
AES,0.999999803
AP005202.1,0.999999803
AURKAIP1,0.9999998
YOD1,0.9999998
KLF2,0.999999798
NDUFB10,0.999999798
AC133435.1,0.999999797
RPLP0P6,0.999999796
EEF1D,0.999999795
PSME2,0.999999795
RPL4P4,0.99999979
RPL31,0.999999789
BTG2,0.999999785
BTG1,0.999999781
LIMD2,0.999999776
SET,0.999999773
AC064799.1,0.999999765
MT2A,0.99999976
NCL,0.999999757
EIF3G,0.999999756
C9orf78,0.999999754
ELOB,0.999999749
POLR2I,0.999999748
AHSP,0.999999748
IGLV3-19,0.999999744
HIST1H2AH,0.999999742
AL121871.1,0.999999741
MARCKSL1,0.999999737
HIST1H4B,0.999999735
EIF5A,0.999999734
S100A11,0.999999734
RPL27A,0.99999973
HLA-DPB1,0.999999727
NFKBIA,0.999999727
ZFP36L2,0.999999726
PPP1R18,0.999999723
AC004448.1,0.999999723
ZFP36L1,0.999999723
RPL30,0.999999718
H19,0.999999716
MYD88,0.999999714
FBXO7,0.999999713
RNF113A,0.999999713
RPL21P28,0.999999713
HNRNPU,0.999999711
HIST1H2AB,0.999999708
CSTB,0.999999707
UQCRB,0.999999706
CALR,0.999999704
EDF1,0.999999703
SLC25A39,0.999999703
EIF4B,0.999999702
EVI2B,0.9999997
CNN2,0.999999699
ARL4C,0.999999697
C19orf53,0.999999697
DBI,0.999999696
ARL4A,0.999999696
RPS7P1,0.999999692
BSG,0.999999687
RPL17,0.999999687
UQCRQ,0.999999685
TRAK2,0.999999684
IK,0.99999968
S100A12,0.999999678
S100A10,0.999999678
HIST1H3F,0.999999677
PIM1,0.999999669
GUK1,0.999999669
EMC6,0.999999669
TIMM13,0.999999665
PSMA7,0.99999966
RNASE6,0.999999659
HIST1H2BL,0.999999657
MRPL51,0.999999651
RPL7P1,0.999999648
COPS6,0.999999646
IGLC3,0.999999643
PHB2,0.999999636
BANF1,0.999999634
SRRM2,0.999999633
CUTA,0.99999963
RFLNB,0.999999629
DAXX,0.999999628
CNBP,0.999999626
TMEM256,0.999999625
BNIP3L,0.999999624
FRAT2,0.999999623
HNRNPDL,0.999999622
ARHGAP30,0.999999615
AC078814.1,0.99999961
RPS7P10,0.999999609
RPS19BP1,0.999999607
CHCHD10,0.999999607
PPP1R11,0.999999607
MAZ,0.999999602
UTP3,0.999999602
RAC2,0.999999601
SAT2,0.999999598
AL139095.2,0.999999598
RPL35P5,0.999999596
BST2,0.999999596
RBM3,0.999999596
EFHD2,0.999999595
MAFB,0.999999592
RPL5P1,0.999999592
RPL36,0.999999584
KCTD12,0.999999582
HIST1H4I,0.999999581
BRD2,0.99999958
RNA5S9,0.999999579
GZMB,0.999999579
ATP5B,0.999999578
CDV3,0.999999578
RPL15P3,0.999999577
ARRB2,0.999999577
GIMAP6,0.999999575
AC245427.1,0.999999573
ID1,0.99999957
TRAC,0.999999568
NSA2,0.999999565
APRT,0.999999565
SLC4A1,0.999999562
RRAGA,0.999999555
IFITM3,0.999999555
SEPHS2,0.999999554
HIRIP3,0.999999552
DEFA3,0.99999955
SLC25A37,0.999999549
ATP5H,0.999999545
SERBP1,0.999999545
RPS15AP1,0.999999541
HIST1H2BM,0.999999539
LGALS1,0.999999531
ERP29,0.999999526
SFPQ,0.999999525
PLP2,0.999999522
IGF2,0.999999521
FCGR3A,0.99999952
PEA15,0.999999517
SF3B2,0.999999517
TSTD1,0.999999516
HBG1,0.999999515
CSNK2B,0.999999513
AC024940.2,0.999999511
SRSF1,0.999999499
C8orf4,0.999999496
MIEN1,0.999999488
YBX3,0.999999483
HNRNPD,0.999999482
CRIP1,0.999999481
HIST1H4F,0.999999481
IMPDH2,0.99999948
TCL1A,0.999999475
POLR2J,0.999999474
S100A4,0.999999471
PTMS,0.999999467
HCLS1,0.999999467
AC144530.1,0.999999464
GRINA,0.999999464
SSNA1,0.999999459
ZNF593,0.999999458
GADD45B,0.999999458
NDUFB1,0.999999456
HSPA1A,0.999999455
KLF6,0.999999455
LAPTM5,0.999999454
RPL24P4,0.999999452
CCNI,0.999999451
HIST1H3G,0.99999945
ABHD17A,0.999999446
UBE2M,0.999999443
CDK2AP2,0.99999944
FABP4,0.999999439
AHNAK,0.999999434
SEC62,0.999999429
DTX3L,0.999999424
EIF3D,0.99999942
RPS9,0.999999419
RHOB,0.999999418
IGHG1,0.999999415
C11orf98,0.999999413
NT5C,0.999999412
TBCC,0.999999408
ST13,0.9999994
AL355032.1,0.999999395
NDUFB11,0.99999939
PA2G4,0.999999387
HNRNPAB,0.999999386
RSL1D1,0.999999385
RPL22L1,0.999999385
EIF3A,0.999999384
OXLD1,0.999999384
RRS1,0.999999382
LCP1,0.999999379
PSMD7,0.999999374
DNAJA1,0.999999369
DDX41,0.999999369
NME2,0.999999367
EIF2S3,0.99999936
VEGFB,0.999999359
HIST1H4K,0.999999359
CITED2,0.999999359
HCFC1R1,0.999999356
GAPT,0.999999351
RPSAP15,0.999999348
ANP32E,0.999999342
GIMAP1,0.999999341
FABP5,0.999999341
GRK2,0.999999341
RAD23A,0.99999934
EEF1B2P6,0.999999339
TIMM10B,0.999999338
IER3,0.999999333
PPIB,0.999999331
NUDT16,0.999999329
PAF1,0.999999329
RNF5,0.999999329
PSMD4,0.999999327
PRPF38B,0.999999327
PPP1R9B,0.999999325
TOMM22,0.999999322
GNB2,0.999999313
QARS,0.999999309
HIST1H4J,0.999999309
MRPL57,0.999999307
IRF2BP2,0.999999307
RNASE1,0.999999306
BCL6B,0.999999306
SNRPD2,0.999999302
TSR3,0.999999302
ANXA1,0.999999302
RBM8A,0.999999294
BEX2,0.999999289
RGS19,0.999999286
OXA1L,0.999999284
TRIM28,0.999999283
CYC1,0.99999928
PDCD4,0.99999928
HIST2H2AA3,0.999999271
TOMM7,0.999999266
KIF1C,0.999999264
CCT5,0.99999926
DDX3X,0.999999253
HNRNPH1,0.999999252
CDC42SE1,0.999999245
NHP2,0.999999242
UFC1,0.999999241
ICAM3,0.999999236
SMIM26,0.999999233
NES,0.999999233
MOAP1,0.999999232
GTF3A,0.99999923
GPATCH4,0.999999229
FO393411.1,0.999999226
IL2RG,0.999999223
MKNK2,0.999999219
TSR2,0.999999205
GLRX5,0.999999201
SNORD8,0.999999198
ID2,0.999999196
RPL7AP30,0.999999193
MLX,0.999999191
SASH3,0.999999185
UROD,0.999999181
NCBP2-AS2,0.99999918
GAS5,0.999999179
BHLHE40,0.999999179
TNFAIP8L2,0.999999176
CDKN1C,0.999999176
POP7,0.999999173
RPS2P55,0.999999171
CHD3,0.999999171
RPL14P3,0.999999169
CCL4,0.999999166
LSP1,0.999999163
SRSF9,0.999999158
ID3,0.999999155
CSTF2T,0.999999153
ANP32A,0.999999151
RPL21P16,0.999999147
DPM2,0.999999147
LDHA,0.999999145
HMGA1,0.999999143
CSK,0.999999141
DCAF12,0.999999139
TIMM10,0.999999139
SSRP1,0.999999138
MTA2,0.999999129
TAGAP,0.999999124
PRRC2A,0.999999124
HSPE1,0.999999123
BTBD6,0.999999111
PSMD8,0.999999109
CD2BP2,0.999999108
NOLC1,0.999999108
THEMIS2,0.999999107
MAT2A,0.999999107
H2AFX,0.999999106
MRPL16,0.999999103
CXXC1,0.999999102
SPI1,0.999999097
RPL24P2,0.999999096
TRIM56,0.999999089
SSR2,0.999999087
SLC35A4,0.999999083
HIST1H3A,0.999999081
MSRB1,0.999999077
MRPL36,0.999999074
CISH,0.999999061
KRT10,0.999999058
IGKV1-5,0.999999055
KIAA1551,0.999999054
MRPL24,0.999999053
RPL37A,0.999999049
NOP56,0.999999047
RBM15B,0.999999046
BPGM,0.999999046
MRPL9,0.999999045
PITHD1,0.99999904
NDUFB7,0.999999039
SLC25A3,0.999999038
TNFRSF14,0.999999035
MED11,0.999999033
CHST2,0.999999023
MAGEF1,0.999999016
STOML2,0.999999015
RFX5,0.999999014
RPL5P23,0.999999012
CD48,0.999999009
BAG1,0.999999008
POLR3GL,0.999999001
FADD,0.999998995
TKT,0.999998985
MRPL20,0.999998984
IGKV3-11,0.999998984
IL32,0.999998981
ADRM1,0.999998981
GTF2F1,0.99999898
ROMO1,0.999998975
GSPT1,0.999998975
CIB1,0.999998974
CD7,0.999998974
IGFBP5,0.999998971
IGKV3-20,0.99999897
RNPS1,0.99999897
IGKV3-15,0.999998965
CCL14,0.999998963
PPM1M,0.999998961
IRF8,0.999998956
GBP1,0.99999895
PTRHD1,0.99999895
EVI2A,0.999998948
CDK9,0.999998946
USF1,0.999998946
RARRES3,0.999998944
GPS1,0.999998942
EIF4EBP2,0.999998939
ALYREF,0.999998937
LY6E,0.999998936
C19orf70,0.999998931
SRSF7,0.99999893
DNTTIP2,0.999998928
PREB,0.999998927
KLF4,0.999998927
SAMD1,0.999998926
ZNF830,0.999998926
NCBP2,0.999998922
CHCHD1,0.999998921
DCXR,0.99999892
TSPYL1,0.999998919
ALAS2,0.999998917
HTATSF1,0.999998916
EWSR1,0.999998913
MOB3A,0.999998913
IGKV4-1,0.999998913
RPL7P23,0.999998911
MRPS16,0.99999891
NACA3P,0.999998908
MRPS26,0.999998908
SEC61G,0.999998906
SLC25A1,0.999998906
MRPL53,0.999998904
SNX17,0.999998902
TRIM21,0.999998902
CCT6A,0.999998897
PRDX2,0.999998897
AL591846.1,0.999998896
NCF2,0.999998893
ADAR,0.999998892
SNORD89,0.999998888
HES1,0.999998887
ANAPC15,0.999998885
PABPC4,0.999998884
POLR2K,0.999998882
HNRNPA0,0.99999888
PRKCSH,0.999998877
SYNPO,0.999998876
ABI3,0.999998875
NIFK,0.999998872
RAB24,0.999998871
GBP5,0.999998869
POLD4,0.999998867
FKBP2,0.999998866
CD3D,0.999998864
CIAO1,0.999998864
CASC3,0.999998863
SLC25A11,0.999998863
CIRBP,0.99999886
MIDN,0.999998859
RANBP1,0.999998859
PHF23,0.999998857
EIF4A1P10,0.999998857
OGFR,0.999998855
STK17B,0.999998854
NFE2L1,0.999998853
SHKBP1,0.999998852
NET1,0.999998852
RPL7L1,0.999998851
ECH1,0.999998845
EIF3F,0.999998844
PHPT1,0.999998844
PSMA4,0.999998842
IGLV1-47,0.999998842
NDUFA3,0.999998831
PDCD5,0.99999883
LILRA1,0.999998829
PSMC3,0.999998824
CEBPA,0.999998823
ACIN1,0.999998813
C1DP5,0.999998812
PPP1CA,0.999998811
RNA5SP149,0.999998811
SELENOK,0.999998808
APOBEC3G,0.999998806
PBDC1,0.999998795
SAMHD1,0.999998792
LAGE3,0.999998792
SMARCC2,0.999998783
ATXN2L,0.999998781
PLK2,0.999998777
IRF7,0.999998774
MRPS18B,0.999998772
RELA,0.999998771
CTSB,0.999998768
MYO1G,0.999998767
NCF1,0.999998765
GMIP,0.999998761
S1PR1,0.999998757
GUCD1,0.999998744
CLIC3,0.99999874
CD79A,0.99999874
GNLY,0.999998739
P2RY13,0.999998737
MRPL40,0.999998731
CD300E,0.999998731
RNF7,0.99999873
TIMM17B,0.999998728
SRRM1,0.999998728
AL033519.2,0.999998727
CBX4,0.999998726
BAG6,0.999998725
EIF3K,0.999998717
KHSRP,0.999998715
FECH,0.999998714
ELK4,0.999998714
RANGRF,0.999998711
ILF2,0.999998707
AL080243.2,0.999998706
RPP21,0.999998706
EIF4G1,0.999998706
KRI1,0.999998705
EIF4H,0.999998704
IGLV2-14,0.999998704
RNF40,0.999998698
COX6C,0.999998697
PDCD2,0.999998694
GID8,0.999998693
ATP5A1,0.999998692
YTHDC1,0.999998686
FOXO4,0.999998682
SNRPD1,0.999998677
UHMK1,0.999998675
TNFRSF13C,0.999998674
SHMT2,0.999998667
DYNC1LI2,0.999998656
USMG5,0.999998654
MGP,0.999998653
RPL21P75,0.999998648
HNRNPUL1,0.999998647
MYC,0.999998644
MLLT6,0.999998644
IRAK1,0.999998643
MRPL17,0.999998638
ALB,0.999998634
DCAF11,0.999998632
FGR,0.99999863
HSP90B1,0.99999863
FIBP,0.999998627
RNU6ATAC3P,0.999998624
PIM2,0.999998623
DUSP7,0.999998621
FMNL1,0.999998619
RAB29,0.999998618
AKNA,0.999998617
PQBP1,0.999998616
SNHG16,0.999998615
RPL4P5,0.999998613
EIF3L,0.999998608
THYN1,0.999998606
C6orf47,0.999998601
NDUFS8,0.999998598
SART1,0.999998597
CWC15,0.999998594
PCED1B-AS1,0.999998591
ATP5G3,0.999998591
NOL7,0.999998591
PLAC8,0.999998586
ANXA2,0.999998584
SPAG7,0.999998584
TRAF3IP3,0.999998583
ALKBH7,0.999998583
SRM,0.999998583
C22orf46,0.999998576
GIMAP2,0.999998568
TRGV7,0.999998565
EIF3M,0.999998561
EXOC8,0.999998559
OPTN,0.999998558
ZNF770,0.999998556
IRF2BPL,0.999998556
PRF1,0.999998553
RPL5P3,0.999998553
CCDC69,0.999998549
RNF44,0.999998545
VPREB3,0.999998538
RBM22,0.999998531
DCTN1,0.999998526
HNRNPA3P5,0.999998526
CNPPD1,0.999998524
SNRNP27,0.999998522
MRPS7,0.99999852
DDX23,0.999998518
CD3E,0.999998515
ABT1,0.999998511
SPTBN1,0.999998507
BAX,0.999998506
AL662797.2,0.999998503
SF3B6,0.9999985
ABCF1,0.999998497
SELENBP1,0.999998491
PURA,0.99999849
TOMM5,0.999998488
RPSAP8,0.999998486
NELFE,0.999998483
IGLV2-11,0.999998481
BLOC1S4,0.99999848
TBC1D10C,0.999998477
DENND2D,0.999998477
RPS29,0.999998475
RPL5P4,0.999998466
COA4,0.999998464
UQCRFS1,0.999998463
SNRPC,0.999998461
ZC3H15,0.999998461
EEF1A1P19,0.99999846
MARF1,0.99999846
LENG1,0.999998458
NAA10,0.999998458
KARS,0.999998457
MRPS12,0.999998456
DCTN3,0.999998445
PIM3,0.999998438
KLF1,0.999998435
AC010468.1,0.999998429
SNHG19,0.999998425
EIF5B,0.99999842
TMUB1,0.99999842
ARRDC2,0.999998419
DGCR6L,0.999998416
RPL26P6,0.999998415
ARHGAP9,0.999998409
TMEM250,0.999998408
TMEM88,0.999998407
APOL6,0.999998407
AC011495.1,0.999998406
C1orf35,0.999998406
IL7R,0.999998405
RNF20,0.999998403
CAMP,0.999998402
PNPLA2,0.9999984
BCL2A1,0.999998399
ANAPC16,0.999998392
MPLKIP,0.999998389
DDX24,0.99999838
OAZ2,0.999998378
RPS3P6,0.999998375
RASSF2,0.999998374
PHOSPHO1,0.999998372
SPTAN1,0.999998369
NPM3,0.999998364
NDUFB8,0.999998363
C1QA,0.999998355
RNF187,0.999998354
SSSCA1,0.999998354
RPS3AP5,0.999998353
IFT20,0.999998352
ZNF768,0.99999835
CCDC115,0.999998349
KPNB1,0.999998346
MRPS15,0.999998345
MBD2,0.999998341
MYO1F,0.99999834
TXN,0.999998339
PRR14,0.999998338
ERGIC3,0.999998335
GMPR2,0.999998334
CENPBD1,0.999998333
SRRT,0.999998333
COMMD6,0.999998333
TRIAP1,0.999998333
DHX38,0.99999833
TAF9,0.999998326
TCEAL1,0.999998323
GYPC,0.999998322
KLHDC3,0.999998321
TBX21,0.999998319
SMIM15,0.999998318
CCDC9,0.999998309
HNRNPA1L2,0.999998306
MGAT2,0.999998305
HIST2H2AA4,0.999998305
MZT2B,0.999998305
NOB1,0.999998305
LDB1,0.999998303
SPN,0.999998301
DEF6,0.999998299
TRGV8,0.999998298
CALHM2,0.999998295
LGALS9,0.999998281
TMEM141,0.999998279
MCM7,0.999998274
AL139100.1,0.999998271
PRPF38A,0.999998271
CRIP2,0.99999827
PURB,0.99999827
SAMD9L,0.999998268
EIF2B4,0.999998265
LYPLA2,0.999998258
BIRC3,0.999998258
TCF7,0.999998252
NCF1C,0.999998252
REPIN1,0.999998248
RNF166,0.999998243
CCL21,0.999998241
GZMH,0.999998239
TMEM203,0.999998233
PEBP1,0.999998232
UFM1,0.999998231
RILP,0.999998229
CCT4,0.999998227
COA3,0.999998225
TOB1,0.999998225
RPL21P93,0.999998221
ZNFX1,0.999998219
ARL2BP,0.999998212
NDUFV1,0.999998198
SUPT16H,0.999998198
THAP7,0.999998197
AL391244.1,0.999998196
DYRK2,0.999998195
BRMS1,0.999998195
ATMIN,0.999998194
RAB11FIP1,0.999998189
SRF,0.999998187
TLNRD1,0.999998184
CAT,0.999998182
SLC2A4RG,0.999998178
MAPK3,0.999998174
AC068724.1,0.999998172
C1QC,0.999998172
FAM136A,0.99999817
SHARPIN,0.999998168
PRDX3,0.999998167
PUF60,0.999998164
MS4A6A,0.999998162
NINJ1,0.99999816
MON1B,0.999998154
STARD7,0.999998154
CD79B,0.999998153
C1orf43,0.999998142
SLC2A1,0.999998135
COX20,0.999998132
COPE,0.999998132
DENR,0.999998131
BAZ2A,0.999998123
C6orf226,0.99999812
ZNF622,0.999998118
JUN,0.999998112
MRPL28,0.999998111
PJA1,0.99999811
NAGK,0.999998108
SARS,0.999998106
RAMP2,0.999998104
DENND1C,0.999998104
METTL18,0.999998102
NGRN,0.999998101
GBP4,0.999998096
RPL13AP20,0.999998095
IFI35,0.99999809
SERTAD3,0.999998089
WDR82,0.999998088
RPL26P37,0.999998086
ZNF511,0.999998085
RNASEH2C,0.999998085
VHL,0.999998082
NACA2,0.999998081
ZBTB7A,0.999998078
ACD,0.999998078
RASAL3,0.99999807
SOX12,0.999998067
RNASE2,0.999998067
KHNYN,0.999998063
LSM5,0.99999806
MAP2K7,0.999998058
RPL7AP66,0.999998055
DPH3,0.999998051
NFKB2,0.999998047
CA1,0.999998045
SNRNP200,0.999998043
LGALS3,0.999998042
EIF4A3,0.999998041
STIP1,0.999998038
SETSIP,0.999998037
KMT2D,0.999998037
ETS1,0.999998037
CCT7,0.99999803
APOL3,0.999998028
SNRPE,0.999998025
NPRL2,0.999998024
TSSC4,0.999998021
VPS29,0.999998018
IQGAP1,0.999998017
HBD,0.999998011
PPM1G,0.999998006
C8orf59,0.999998006
HCFC1,0.999998006
RBM42,0.999998003
FAM122A,0.999998002
DDX27,0.999998002
FKBP4,0.999998001
RPSAP19,0.999998001
ISCA2,0.999998
TRIM22,0.999997992
TOB2,0.99999799
PSME3,0.99999799
FTSJ3,0.999997989
VAT1,0.999997987
CCND2,0.999997986
CST7,0.999997979
PHB,0.999997979
REXO4,0.999997977
BLVRB,0.999997976
ELOF1,0.999997973
ANXA6,0.999997971
AC078817.1,0.99999797
DNPH1,0.99999797
RING1,0.999997969
PITPNA-AS1,0.999997966
ARPC5L,0.999997964
KTI12,0.999997962
TXNDC17,0.999997956
C15orf39,0.999997952
DDX18,0.999997952
ISG20L2,0.999997945
CD27,0.999997944
SNRPB2,0.99999793
SMARCD2,0.999997929
AC020898.1,0.999997926
STAT6,0.999997922
PINK1,0.999997917
SSB,0.999997913
POLR2C,0.99999791
SNORA54,0.999997909
RIOX1,0.999997907
GPATCH11,0.999997898
PIN1,0.999997891
LINC00324,0.99999789
EIF6,0.999997889
AC010343.1,0.999997888
RSL24D1,0.999997888
FEM1A,0.999997887
DNAJC19,0.999997886
KAT5,0.999997885
HIST4H4,0.999997882
SNHG8,0.999997878
EID2,0.999997877
SEC61B,0.99999787
DKC1,0.99999787
SMAP2,0.999997868
IGKV1-9,0.999997867
TNIP1,0.999997858
ETS2,0.999997856
CNDP2,0.999997855
AIF1L,0.999997855
TRMT10C,0.999997852
TMEM55B,0.999997848
GBP2,0.999997848
RNPEPL1,0.999997846
SCYL1,0.999997846
TBC1D10B,0.999997845
RPL9P7,0.999997842
SOWAHD,0.999997836
CIDEB,0.999997835
USP11,0.999997828
IFIT5,0.999997825
RPS6KB2,0.999997821
EOMES,0.999997815
CCDC107,0.999997811
IFI27,0.999997809
HES4,0.999997804
HIST3H2A,0.999997802
TMEM14C,0.999997793
GNL1,0.999997791
C1QBP,0.999997789
TMEM147,0.999997782
H2AFV,0.999997781
TRIM38,0.999997771
CEBPG,0.999997768
LTA4H,0.999997765
HIST1H4A,0.999997764
IFI44L,0.99999776
COASY,0.999997751
DPP7,0.99999775
EIF3B,0.999997748
RBM25,0.999997746
ASNSD1,0.999997744
SRP72,0.999997742
NXT1,0.999997739
MDH2,0.999997737
BCKDK,0.999997733
RBM17,0.99999773
ISG20,0.999997728
TRBV29-1,0.999997722
SURF2,0.999997719
G3BP1,0.999997716
TNF,0.999997712
CDC34,0.99999771
WNK1,0.99999771
PLCB2,0.999997709
GSPT2,0.999997707
CDK11B,0.999997706
RTL6,0.999997705
AKT1,0.999997703
UACA,0.999997702
DEFA4,0.9999977
MRPS18C,0.999997699
SMIM10,0.999997697
C19orf60,0.999997695
GPANK1,0.999997693
KLK1,0.999997691
TNFSF12,0.999997689
ILF3,0.999997688
MED10,0.999997687
RN7SL471P,0.999997682
PCGF1,0.99999768
HADHA,0.999997678
TRPT1,0.999997675
NCKAP1L,0.999997669
MPHOSPH10,0.999997667
MXI1,0.999997657
CX3CR1,0.999997656
ZNF641,0.999997655
UBALD1,0.999997651
C19orf66,0.999997649
SNF8,0.999997646
SNHG7,0.999997643
THRAP3,0.999997641
MS4A7,0.999997637
JCAD,0.999997637
HMOX1,0.999997635
GPX3,0.999997633
MDC1,0.999997631
CHMP7,0.999997629
PPID,0.999997627
EIF2B5,0.999997622
AC013248.2,0.999997621
ATP5G1,0.999997616
ZKSCAN1,0.999997614
RCSD1,0.999997614
BEX5,0.99999761
CBX6,0.999997608
PSMC1,0.999997606
PPP1R10,0.999997603
STK16,0.999997601
SOX4,0.999997598
IGHD,0.999997597
PGLS,0.999997596
XAB2,0.999997592
SF3A3,0.999997585
NOP9,0.999997581
IRF3,0.999997579
PSMB3,0.999997577
AL355802.2,0.999997576
PRMT1,0.999997574
SIT1,0.99999757
CFP,0.999997567
RBL2,0.999997564
ZNHIT2,0.999997559
CRTC2,0.999997558
RNF14,0.999997558
ZBTB4,0.999997554
RPL41P2,0.99999755
MCM3,0.999997546
IRF2BP1,0.999997545
MED28,0.999997544
GRHPR,0.999997536
KCNE3,0.999997532
ROGDI,0.999997531
ARID1A,0.999997528
NDUFAB1,0.999997525
MLST8,0.999997524
RRP7A,0.999997524
PRPF31,0.999997518
C1orf123,0.999997518
UBE2G2,0.999997513
FANCF,0.999997506
AC011825.1,0.9999975
IKZF1,0.999997498
MAP3K11,0.999997496
HCK,0.999997493
ELOVL1,0.999997492
ADRB2,0.999997487
WDR46,0.999997483
SHC1,0.999997483
RPL12P6,0.999997481
HEBP2,0.99999748
NDUFA2,0.999997479
VASH1,0.999997476
CCDC124,0.999997475
GPAA1,0.999997472
ATP5G2,0.999997472
CHTOP,0.999997468
CLEC4E,0.999997465
XAF1,0.999997464
NCF1B,0.999997463
ABCF3,0.999997462
PLAGL2,0.99999746
PHF1,0.999997455
ITPRIPL2,0.999997455
MXD4,0.999997455
PRELID3B,0.999997447
IGKV1-6,0.999997447
FEN1,0.999997445
PARP1,0.999997434
YKT6,0.999997424
GRK6,0.999997421
ALDOC,0.999997415
SNHG1,0.999997411
SP110,0.999997411
TOMM20,0.999997409
ELOA,0.999997404
GIMAP8,0.999997401
FGFBP2,0.999997396
RGL2,0.999997392
MRPL54,0.999997388
HLA-DOA,0.999997385
NUDT4,0.999997384
WASF2,0.999997383
STAT5A,0.999997383
RPL23AP65,0.99999738
HMBS,0.999997378
CLTB,0.999997377
RPL23P8,0.999997371
C20orf24,0.999997371
DDX42,0.99999737
BLOC1S2,0.999997367
ARL6IP4,0.999997367
HLA-DMA,0.999997363
RRP8,0.999997362
HECA,0.999997356
ASCL2,0.999997346
SIKE1,0.999997343
PTPN7,0.999997342
RNF26,0.999997341
ACTR1B,0.999997336
MSL3,0.999997336
ZBTB6,0.999997332
NOP16,0.99999733
CCDC137,0.999997323
CCAR2,0.999997322
RPS3AP25,0.999997318
COX7A2,0.999997317
PKN1,0.999997317
CA11,0.99999731
KHDRBS1,0.99999731
PSENEN,0.999997308
ZNF467,0.999997305
NR2C2AP,0.999997303
ANKZF1,0.999997302
MRPS2,0.999997299
