ensemble,gene,exon length,transcript length,gene length
ENSG00000008294,SPAG9,46200,1042165,158691
ENSG00000008300,CELSR3,21400,42761,26446
ENSG00000008311,AASS,17195,324331,68633
ENSG00000008323,PLEKHG6,13287,72560,18070
ENSG00000008324,SS18L2,2420,20852,13274
ENSG00000008382,MPND,9931,104763,16559
ENSG00000008394,MGST1,14999,769263,262117
ENSG00000008405,CRY1,8988,189149,102465
ENSG00000008438,PGLYRP1,717,3912,3912
ENSG00000008441,NFIX,22694,788035,103188
ENSG00000008513,ST3GAL1,24510,865295,117092
ENSG00000008516,MMP25,6037,33456,14045
ENSG00000008517,IL32,29368,142715,16895
ENSG00000008710,PKD1,81249,270364,47188
ENSG00000008735,MAPK8IP2,8955,21714,13296
ENSG00000008838,MED24,41871,566446,42118
ENSG00000008853,RHOBTB2,16621,111524,32782
ENSG00000008869,HEATR5B,9489,149160,115959
ENSG00000008952,SEC62,12588,149687,31738
ENSG00000008988,RPS20,8819,25729,7286
ENSG00000009307,CSDE1,35595,438797,41763
ENSG00000009335,UBE3C,16725,360715,130459
ENSG00000009413,REV3L,70762,1180430,184687
ENSG00000009694,TENM1,26114,1219507,587914
ENSG00000009709,PAX7,9473,327055,117860
ENSG00000009724,MASP2,5777,31069,20710
ENSG00000009765,IYD,23058,261887,37077
ENSG00000009780,FAM76A,11019,226780,37143
ENSG00000009790,TRAF3IP3,22039,201109,26288
ENSG00000009830,POMT2,27748,250533,45928
ENSG00000009844,VTA1,15258,325272,77527
ENSG00000009950,MLXIPL,23725,243877,31349
ENSG00000009954,BAZ1B,12315,166510,81880
ENSG00000010017,RANBP9,6108,175792,90066
ENSG00000010030,ETV7,10748,162756,33709
ENSG00000010072,SPRTN,10731,67448,17919
ENSG00000010165,METTL13,11641,84256,32359
ENSG00000010219,DYRK4,16665,256064,53098
ENSG00000010244,ZNF207,35932,230024,31769
ENSG00000010256,UQCRC1,9394,51200,11974
ENSG00000010270,STARD3NL,10531,327983,52449
ENSG00000010278,CD9,12922,403131,38556
ENSG00000010282,HHATL,10267,50674,10164
ENSG00000010292,NCAPD2,18519,165869,38599
ENSG00000010295,IFFO1,32362,173514,17708
ENSG00000010310,GIPR,10065,62109,15480
ENSG00000010318,PHF7,14610,92704,12984
ENSG00000010319,SEMA3G,6333,19773,12032
ENSG00000010322,NISCH,27224,189870,37953
ENSG00000010327,STAB1,20669,64964,29157
ENSG00000010361,FUZ,16832,63227,10507
ENSG00000010379,SLC6A13,10152,213974,42252
ENSG00000010404,IDS,14720,120977,44106
ENSG00000010438,PRSS3,5532,247784,48765
ENSG00000010539,ZNF200,23136,85004,13896
ENSG00000010610,CD4,12401,228940,33950
ENSG00000010626,LRRC23,14733,155026,40674
ENSG00000010671,BTK,12901,158086,41349
ENSG00000010704,HFE,19504,97135,11062
ENSG00000010803,SCMH1,36378,1850780,214954
ENSG00000010810,FYN,33595,2747732,213120
ENSG00000010818,HIVEP2,29096,422395,205231
ENSG00000010932,FMO1,13894,223764,37507
ENSG00000011007,ELOA,13213,60909,18904
ENSG00000011009,LYPLA2,9122,29793,4569
ENSG00000011021,CLCN6,18564,192745,37048
ENSG00000011028,MRC2,15758,145919,66196
ENSG00000011052,NME1-NME2,3084,54400,18154
ENSG00000011083,SLC6A7,6725,58771,32831
ENSG00000011105,TSPAN9,11929,781323,209209
ENSG00000011114,BTBD7,28535,425516,95542
ENSG00000011132,APBA3,11315,31231,10880
ENSG00000011143,MKS1,15237,97723,14168
ENSG00000011198,ABHD5,5608,105100,44258
ENSG00000011201,ANOS1,9970,409103,203312
ENSG00000011243,AKAP8L,21678,377690,39093
ENSG00000011258,MBTD1,18297,316008,82738
ENSG00000011260,UTP18,5611,110315,37408
ENSG00000011275,RNF216,15632,648247,161692
ENSG00000011295,TTC19,16193,126485,45635
ENSG00000011304,PTBP1,28138,142075,15252
ENSG00000011332,DPF1,24398,190593,18708
ENSG00000011347,SYT7,19144,563947,65835
ENSG00000011376,LARS2,14824,623664,160915
ENSG00000011405,PIK3C2A,12674,332171,130253
ENSG00000011422,PLAUR,13773,193641,24452
ENSG00000011426,ANLN,17803,264899,63985
ENSG00000011451,WIZ,24588,87397,29971
ENSG00000011454,RABGAP1,17823,623589,164033
ENSG00000011465,DCN,25767,440791,42639
ENSG00000011478,QPCTL,5029,32208,11506
ENSG00000011485,PPP5C,22096,189697,45987
ENSG00000011523,CEP68,17840,99203,30638
ENSG00000011566,MAP4K3,17419,887819,188046
ENSG00000011590,ZBTB32,7248,50895,12511
ENSG00000011600,TYROBP,4760,31736,3894
ENSG00000011638,TMEM159,10430,162058,22239
ENSG00000011677,GABRA3,6107,514067,285124
ENSG00000012048,BRCA1,61305,1302398,125950
ENSG00000012061,ERCC1,18819,248054,71495
ENSG00000012124,CD22,38733,331864,28094
ENSG00000012171,SEMA3B,33381,84776,9988
ENSG00000012174,MBTPS2,10723,97175,45788
ENSG00000012211,PRICKLE3,9698,55194,11264
ENSG00000012223,LTF,12703,201149,49589
ENSG00000012232,EXTL3,22686,747226,155130
ENSG00000012504,NR1H4,12478,526570,90705
ENSG00000012660,ELOVL5,11568,519398,81781
ENSG00000012779,ALOX5,9352,223412,71943
ENSG00000012817,KDM5D,35332,214427,41074
ENSG00000012822,CALCOCO1,28627,146930,19228
ENSG00000012963,UBR7,11132,120510,22159
ENSG00000012983,MAP4K5,13903,444827,142625
ENSG00000013016,EHD3,6904,67866,35110
ENSG00000013275,PSMC4,7607,50809,10436
ENSG00000013288,MAN2B2,16632,147799,48187
ENSG00000013293,SLC7A14,10566,142427,126490
ENSG00000013297,CLDN11,10545,890066,441515
ENSG00000013306,SLC25A39,18247,59975,5245
ENSG00000013364,MVP,16412,214016,27645
ENSG00000013374,NUB1,15665,195730,36750
ENSG00000013375,PGM3,23479,193256,32786
ENSG00000013392,RWDD2A,3741,5553,5553
ENSG00000013441,CLK1,20343,96969,11735
ENSG00000013503,POLR3B,9489,367035,152540
ENSG00000013523,ANGEL1,8060,80947,40068
ENSG00000013561,RNF14,26719,238081,31963
ENSG00000013563,DNASE1L1,19394,84705,10874
ENSG00000013573,DDX11,45189,411194,30946
ENSG00000013583,HEBP1,4328,50328,25409
ENSG00000013588,GPRC5A,11347,87562,27155
ENSG00000013619,MAMLD1,21360,600548,152756
ENSG00000013725,CD6,18630,391284,48697
ENSG00000013810,TACC3,17649,139602,23686
ENSG00000014123,UFL1,4661,34837,33681
ENSG00000014138,POLA2,12380,152712,43827
ENSG00000014164,ZC3H3,3812,127141,103798
ENSG00000014216,CAPN1,31507,232504,31440
ENSG00000014257,ACPP,9434,218915,50931
ENSG00000014641,MDH1,13822,177596,18588
ENSG00000014824,SLC30A9,11089,258104,99985
ENSG00000014914,MTMR11,19088,55768,8218
ENSG00000014919,COX15,5490,40835,20256
ENSG00000015133,CCDC88C,23677,460297,146521
ENSG00000015153,YAF2,26537,1111380,81245
ENSG00000015171,ZMYND11,41220,1457037,120172
ENSG00000015285,WAS,5446,30272,14831
ENSG00000015413,DPEP1,9886,152798,25148
ENSG00000015475,BID,22326,549666,40632
ENSG00000015479,MATR3,75029,1177612,95948
ENSG00000015520,NPC1L1,16505,93599,28780
ENSG00000015532,XYLT2,12649,59826,17046
ENSG00000015568,RGPD5,26825,237838,64937
ENSG00000015592,STMN4,9317,144638,23097
ENSG00000015676,NUDCD3,17390,466576,111759
ENSG00000016082,ISL1,4635,28648,11347
ENSG00000016391,CHDH,8846,76266,34055
ENSG00000016402,IL20RA,13537,224272,45209
ENSG00000016490,CLCA1,6399,63337,31921
ENSG00000016602,CLCA4,3677,35516,33676
ENSG00000016864,GLT8D1,18582,117372,11544
ENSG00000017260,ATP2C1,62673,1851288,166117
ENSG00000017427,IGF1,17976,478384,84778
ENSG00000017483,SLC38A5,15935,93126,11719
ENSG00000017797,RALBP1,10678,245102,63107
ENSG00000018189,RUFY3,18232,500965,103111
ENSG00000018236,CNTN1,23805,1870924,379976
ENSG00000018280,SLC11A1,27789,119652,14865
ENSG00000018408,WWTR1,15871,708543,219479
ENSG00000018510,AGPS,9128,301327,166655
ENSG00000018607,ZNF806,1771,9427,9427
ENSG00000018610,CXorf56,5216,57706,27259
ENSG00000018625,ATP1A2,18392,103249,27832
ENSG00000018699,TTC27,5486,422307,193019
ENSG00000018869,ZNF582,9719,68959,17699
ENSG00000019102,VSIG2,2326,8853,4766
ENSG00000019144,PHLDB1,72328,556482,51598
ENSG00000019169,MARCO,2940,82184,52494
ENSG00000019186,CYP24A1,8357,62963,20524
ENSG00000019485,PRDM11,18626,428831,139304
ENSG00000019505,SYT13,7393,121719,46018
ENSG00000019549,SNAI2,4296,7722,3972
ENSG00000019582,CD74,10799,108953,11292
ENSG00000019991,HGF,16567,276326,71432
ENSG00000019995,ZRANB1,6270,48151,46066
ENSG00000020129,NCDN,13717,37497,9801
ENSG00000020181,ADGRA2,12451,140512,60705
ENSG00000020219,CCT8L1P,1673,1673,1673
ENSG00000020256,ZFP64,19842,573782,152645
ENSG00000020426,MNAT1,8161,1043840,235211
ENSG00000020577,SAMD4A,27558,992379,226218
ENSG00000020633,RUNX3,11660,221423,65610
ENSG00000020922,MRE11,18453,373844,78330
ENSG00000021300,PLEKHB1,20984,233393,16641
ENSG00000021355,SERPINB1,5277,29317,9674
ENSG00000021461,CYP3A43,18760,575951,38089
ENSG00000021488,SLC7A9,8933,200842,39257
ENSG00000021574,SPAST,17093,372508,94026
ENSG00000021645,NRXN3,39233,8460991,1697917
ENSG00000021762,OSBPL5,29072,708072,79623
ENSG00000021776,AQR,20760,288017,118057
ENSG00000021826,CPS1,26172,783328,201425
ENSG00000021852,C8B,8156,127727,36930
ENSG00000022267,FHL1,30323,720068,64657
ENSG00000022277,RTFDC1,10663,227130,50864
ENSG00000022355,GABRA1,14644,276843,52918
ENSG00000022556,NLRP2,35567,416682,48012
ENSG00000022567,SLC45A4,16570,237400,101139
ENSG00000022840,RNF10,21419,306428,44114
ENSG00000022976,ZNF839,22865,167488,25325
ENSG00000023041,ZDHHC6,4747,38213,22489
ENSG00000023171,GRAMD1B,27021,495569,269346
ENSG00000023191,RNH1,33252,208626,12788
ENSG00000023228,NDUFS1,28412,286588,44786
ENSG00000023287,RB1CC1,18678,463226,123387
ENSG00000023318,ERP44,4842,119861,119861
ENSG00000023330,ALAS1,10179,73315,16241
ENSG00000023445,BIRC3,16177,80010,21953
ENSG00000023516,AKAP11,9907,51114,51114
ENSG00000023572,GLRX2,2594,27999,9646
ENSG00000023608,SNAPC1,2646,34071,34071
ENSG00000023697,DERA,9433,977611,126110
ENSG00000023734,STRAP,6727,73546,21087
ENSG00000023839,ABCC2,7508,87127,69460
ENSG00000023892,DEF6,3081,27341,23919
ENSG00000023902,PLEKHO1,11810,48583,15537
ENSG00000023909,GCLM,12060,87853,24251
ENSG00000024048,UBR2,18031,315173,129442
ENSG00000024422,EHD2,7319,90742,29791
ENSG00000024526,DEPDC1,14725,80470,23069
ENSG00000024862,CCDC28A,5442,78681,19810
ENSG00000025039,RRAGD,9816,128506,47634
ENSG00000025156,HSF2,5804,76824,33573
ENSG00000025293,PHF20,20732,1012552,178407
ENSG00000025423,HSD17B6,10489,231245,35629
ENSG00000025434,NR1H3,33849,313899,20732
ENSG00000025708,TYMP,15023,36347,4304
ENSG00000025770,NCAPH2,11846,96354,15256
ENSG00000025772,TOMM34,2055,18356,18356
ENSG00000025796,SEC63,12988,253662,90433
ENSG00000025800,KPNA6,13117,163550,68530
ENSG00000026025,VIM,14072,45559,9334
ENSG00000026036,RTEL1-TNFRSF6B,25622,139992,39384
ENSG00000026103,FAS,21959,408691,25203
ENSG00000026297,RNASET2,18921,298927,27687
ENSG00000026508,CD44,38598,1520174,93532
ENSG00000026559,KCNG1,9388,67640,19473
ENSG00000026652,AGPAT4,17848,484640,144082
ENSG00000026751,SLAMF7,24627,151885,15764
ENSG00000026950,BTN3A1,17536,80176,12979
ENSG00000027001,MIPEP,5190,251879,159230
ENSG00000027075,PRKCH,22589,2483436,363417
ENSG00000027644,INSRR,5079,18955,18955
ENSG00000027697,IFNGR1,6311,87693,21965
ENSG00000027847,B4GALT7,10684,50483,10247
ENSG00000027869,SH2D2A,7272,44734,10619
ENSG00000028116,VRK2,14144,1246769,252269
ENSG00000028137,TNFRSF1B,8205,110975,42225
ENSG00000028203,VEZT,52865,2176966,85044
ENSG00000028277,POU2F2,32760,641444,110475
ENSG00000028310,BRD9,30913,310126,42533
ENSG00000028528,SNX1,22071,383577,51967
ENSG00000028839,TBPL1,10019,200299,38262
ENSG00000029153,ARNTL2,20478,644399,92435
ENSG00000029363,BCLAF1,57288,381565,33224
ENSG00000029364,SLC39A9,20004,523117,64373
ENSG00000029534,ANK1,37290,697818,243542
ENSG00000029559,IBSP,1539,12854,12854
ENSG00000029639,TFB1M,5742,249946,56984
ENSG00000029725,RABEP1,12734,343528,103547
ENSG00000029993,HMGB3,6378,25656,10266
ENSG00000030066,NUP160,20679,263166,70468
ENSG00000030110,BAK1,6460,23182,7746
ENSG00000030304,MUSK,12554,561118,132849
ENSG00000030419,IKZF2,45243,2077750,152736
ENSG00000030582,GRN,15804,90040,8016
ENSG00000031003,FAM13B,16248,421996,114001
ENSG00000031081,ARHGAP31,9850,184577,126341
ENSG00000031691,CENPQ,1724,29729,29729
ENSG00000031698,SARS,7631,77263,24251
ENSG00000031823,RANBP3,29771,1274531,62003
ENSG00000032219,ARID4A,27503,399297,75502
ENSG00000032389,EIPR1,14751,1859170,188957
ENSG00000032444,PNPLA6,34925,208931,27760
ENSG00000032742,IFT88,11841,420607,124368
ENSG00000033011,ALG1,13470,117660,53419
ENSG00000033030,ZCCHC8,16702,117110,29473
ENSG00000033050,ABCF2,8550,46723,19393
ENSG00000033100,CHPF2,8002,17580,6338
ENSG00000033122,LRRC7,28114,1732344,583547
ENSG00000033170,FUT8,22210,2739072,333529
ENSG00000033178,UBA6,15360,210010,88527
ENSG00000033327,GAB2,14993,998079,203051
ENSG00000033627,ATP6V0A1,39638,584137,63767
ENSG00000033800,PIAS1,16093,478308,144424
ENSG00000033867,SLC4A7,70691,1453523,111699
ENSG00000034053,APBA2,25482,1814454,233832
ENSG00000034152,MAP2K3,16779,252455,30568
ENSG00000034239,EFCAB1,9931,119609,24522
ENSG00000034510,TMSB10,493,1050,1050
ENSG00000034533,ASTE1,10482,59147,13774
ENSG00000034677,RNF19A,20058,493722,79158
ENSG00000034693,PEX3,3140,64785,39203
ENSG00000034713,GABARAPL2,5269,38257,11530
ENSG00000034971,MYOC,4130,34480,17266
ENSG00000035115,SH3YL1,35549,716684,48668
ENSG00000035141,FAM136A,7090,28181,6115
ENSG00000035403,VCL,29124,658895,126170
ENSG00000035499,DEPDC1B,7790,386650,103278
ENSG00000035664,DAPK2,23562,1050474,164997
ENSG00000035681,NSMAF,16313,350001,76340
ENSG00000035687,ADSS,4497,57566,43640
ENSG00000035720,STAP1,2638,96779,48609
ENSG00000035862,TIMP2,16211,202709,72410
ENSG00000035928,RFC1,19060,375431,78919
ENSG00000036054,TBC1D23,18048,312364,64251
ENSG00000036257,CUL3,29226,658821,115247
ENSG00000036448,MYOM2,16409,365421,120512
ENSG00000036473,OTC,2196,119967,68905
ENSG00000036530,CYP46A1,14461,157638,42997
ENSG00000036549,ZZZ3,20113,578924,121003
ENSG00000036565,SLC18A1,19871,284651,38351
ENSG00000036672,USP2,10833,77532,26511
ENSG00000036828,CASR,9386,207158,107946
ENSG00000037042,TUBG2,4371,16347,7701
ENSG00000037241,RPL26L1,3543,52611,11042
ENSG00000037280,FLT4,29955,282355,48118
ENSG00000037474,NSUN2,16214,145019,34052
ENSG00000037637,FBXO42,11200,133524,105615
ENSG00000037749,MFAP3,10150,535133,181572
ENSG00000037757,MRI1,7882,34544,9750
ENSG00000037897,METTL1,6687,17774,4322
ENSG00000037965,HOXC8,1887,3256,3256
ENSG00000038002,AGA,5142,39054,11733
ENSG00000038210,PI4K2B,8778,203010,45117
ENSG00000038219,BOD1L1,19449,106912,58985
ENSG00000038274,MAT2B,14262,91507,16222
ENSG00000038295,TLL1,19303,1084629,230637
ENSG00000038358,EDC4,23430,51039,11480
ENSG00000038382,TRIO,57804,1852552,388426
ENSG00000038427,VCAN,54031,780490,110838
ENSG00000038532,CLEC16A,23929,811476,237701
ENSG00000038945,MSR1,16112,1608690,459612
ENSG00000039068,CDH1,30995,856288,98323
ENSG00000039123,SKIV2L2,13137,370028,117821
ENSG00000039139,DNAH5,19051,286707,254212
ENSG00000039319,ZFYVE16,39531,418004,71337
ENSG00000039523,RIPOR1,36761,178889,28370
ENSG00000039537,C6,10885,260368,119204
ENSG00000039560,RAI14,35504,3144807,176390
ENSG00000039600,SOX30,7632,98731,45801
ENSG00000039650,PNKP,15143,47962,18469
ENSG00000039987,BEST2,6703,20069,6756
ENSG00000040199,PHLPP2,30713,349202,86866
ENSG00000040275,SPDL1,13915,131346,21144
ENSG00000040341,STAU2,43093,4246706,327339
ENSG00000040487,PQLC2,9244,87424,16974
ENSG00000040531,CTNS,10047,179396,25074
ENSG00000040608,RTN4R,7583,151549,41831
ENSG00000040633,PHF23,12980,37725,4694
ENSG00000040731,CDH10,8958,333116,157878
ENSG00000040933,INPP4A,31699,809739,149536
ENSG00000041353,RAB27B,8714,302388,177656
ENSG00000041357,PSMA4,23027,130002,12014
ENSG00000041515,MYO16,28633,2417708,611855
ENSG00000041802,LSG1,8154,69667,31689
ENSG00000041880,PARP3,13065,33803,6522
ENSG00000041982,TNC,44201,666724,98679
ENSG00000041988,THAP3,8213,56351,10720
ENSG00000042062,RIPOR3,14133,210001,105420
ENSG00000042088,TDP1,25168,768150,89829
